epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30825,1.80119,3.9521,2.01181,0.09402,0.5,0.2846,0.25305,0.48992,3.40778,1.06737,0,0,0
2,2.15512,1.56984,4.20254,1.87029,0.09607,0.5,0.28411,0.253,0.49632,3.4349,1.06445,9.88353e-06,9.88353e-06,9.88353e-06
3,3.00104,1.60346,4.16516,1.9233,0.07497,0.66667,0.27639,0.25151,0.49743,3.45385,1.06108,1.95341e-05,1.95341e-05,1.95341e-05
4,3.80651,1.47048,4.00217,1.78349,0.05338,0.66667,0.27483,0.24652,0.48834,3.46904,1.02369,2.89518e-05,2.89518e-05,2.89518e-05
5,4.61401,1.71013,4.07878,1.94946,0.05023,0.66667,0.26718,0.24414,0.49446,3.46669,1.02124,3.81365e-05,3.81365e-05,3.81365e-05
6,5.41649,1.80189,4.43263,1.98999,0.04903,0.66667,0.26718,0.24414,0.48739,3.44797,1.01893,4.70882e-05,4.70882e-05,4.70882e-05
7,6.27171,1.53638,4.28219,1.87367,0.13408,0.5,0.35836,0.34049,0.36226,2.97063,0.9625,5.58071e-05,5.58071e-05,5.58071e-05
8,7.33234,1.41754,3.55971,1.70157,0.78859,0.5,0.55278,0.51408,0.38219,2.59029,0.9553,6.42929e-05,6.42929e-05,6.42929e-05
9,8.41451,1.40686,2.90796,1.7157,0.813,0.5,0.66333,0.58871,0.5916,2.7154,1.013,7.25459e-05,7.25459e-05,7.25459e-05
10,9.46311,1.29071,2.74967,1.60592,0.62582,0.66667,0.61358,0.4378,1.07334,2.92994,1.21456,8.05659e-05,8.05659e-05,8.05659e-05
11,10.4572,1.00942,2.36708,1.37527,0.58508,0.66667,0.59424,0.37312,1.332,2.90651,1.39554,8.83529e-05,8.83529e-05,8.83529e-05
12,11.4498,1.10834,2.43788,1.39915,0.40414,0.96758,0.62188,0.40629,1.44252,2.55196,1.52284,9.59071e-05,9.59071e-05,9.59071e-05
13,12.4301,1.07794,2.1534,1.36276,0.34219,0.99825,0.71861,0.5279,1.27241,2.3375,1.42487,0.000103228,0.000103228,0.000103228
14,13.4644,1.02434,2.10625,1.39163,0.53148,0.83333,0.91208,0.66333,1.16698,2.41086,1.36808,0.000110316,0.000110316,0.000110316
15,14.53,1.05091,2.06908,1.29799,0.63825,0.83333,0.80153,0.64399,0.98239,1.98888,1.2549,0.000117172,0.000117172,0.000117172
16,15.5115,0.96841,1.95887,1.24901,0.67193,0.66667,0.70479,0.55969,0.83237,1.83288,1.15777,0.000123794,0.000123794,0.000123794
